s,Entries
43065,2651269
43066,5132229
43067,6088868
43068,6260847
43069,6306569
43070,6294828
43071,4233835
43072,3058631
43073,5358385
43074,6195742
43075,6353427
43076,6405407
43077,6352189
43078,4063374
43079,2969079
43080,5066653
43081,6114405
43082,6176652
43083,6180834
43084,6131739
43085,4250080
43086,3108058
43087,5298310
43088,6131438
43089,6192301
43090,6005489
43091,5690174
43092,3341504
43093,2616166
43094,1851117
43095,3541036
43096,4551952
43097,4640189
43098,4559735
43099,3235661
43100,2592430
43101,2200955
43102,4503193
43103,5571641
43104,3815784
43105,4313071
43106,3050964
43107,2229328
43108,4805720
43109,5736622
43110,5871948
43111,5861668
43112,5623399
43113,3629199
43114,2533212
43115,3160100
43116,5194864
43117,5662984
43118,5755101
43119,5782501
43120,3852477
43121,2630656
43122,4838466
43123,5562960
43124,5783587
43125,5762041
43126,5739410
43127,3718893
43128,2614473
43129,4918373
43130,5835273
43131,5937187
43132,5973099
43133,5910319
43134,3573822
43135,2522775
43136,4955659
43137,5892632
43138,5854974
43139,5945164
43140,5994262
43141,3673400
43142,2405886
43143,4853737
43144,5944714
43145,6064682
43146,5972755
43147,5577388
43148,3504354
43149,2535015
43150,3117648
43151,4982956
43152,5688605
43153,5677255
43154,5536458
43155,3630835
43156,2528455
43157,5022409
43158,5940192
43159,6053014
43160,6026217
43161,5559926
43162,3429780
43163,2728067
43164,5129749
43165,6066732
43166,5071127
43167,5135545
43168,6078275
43169,3931583
43170,2528641
43171,4727396
43172,5725166
43173,6073912
43174,6172564
43175,6114799
43176,4326498
43177,2956617
43178,4649042
43179,5970688
43180,4568939
43181,4500800
43182,6004546
43183,4365708
43184,2934129
43185,4713145
43186,6120726
43187,6177587
43188,6155073
43189,5434689
43190,3777734
43191,2778414
43192,4015249
43193,5428776
43194,5632526
43195,5780341
43196,5614103
43197,4077496
43198,2889458
43199,4662305
43200,5956746
43201,6104600
43202,6117511
43203,6121020
43204,4443661
43205,2952342
43206,4273241
43207,5972159
43208,6197749
43209,6203889
43210,6183411
43211,4423509
43212,3036228
43213,4802912
43214,6083024
43215,6071213
43216,6170470
43217,6220307
43218,4251453
43219,2970836
43220,4821935
43221,6104990
43222,6261664
43223,6292783
43224,6221628
43225,4387006
43226,2980039
43227,4764374
43228,6114889
43229,6272736
43230,6262627
43231,6211535
43232,4232831
43233,2707092
43234,4649056
43235,6151338
43236,6215115
43237,6138039
43238,6186626
43239,4161253
43240,2805847
43241,4728387
43242,6012383
43243,6093309
43244,6201119
43245,6112226
43246,3771178
43247,2557985
43248,2520081
43249,4731411
43250,6016211
43251,6121103
43252,6046650
43253,4154626
43254,2900822
43255,4717450
43256,5980951
43257,6146899
43258,6018347
43259,6137135
43260,4258994
43261,2953601
43262,4656249
43263,5985142
43264,6105062
43265,6101560
43266,5925679
43267,4195853
43268,2892456
43269,4613624
43270,5852134
43271,6072505
43272,6066263
43273,6003187
43274,4057152
43275,3086428
43276,4784687
43277,5899855
43278,5855381
43279,5757287
43280,5769761
43281,4055375
43282,2702279
43283,4239787
43284,5482965
43285,3357452
43286,4351999
43287,5022372
43288,3604478
43289,2726656
43290,4490567
43291,5685613
43292,5804094
43293,5875528
43294,5819698
43295,3993798
43296,2771665
43297,4475745
43298,5654421
43299,5691642
43300,5913570
43301,5786131
43302,3991282
43303,2622383
43304,4368696
43305,5641216
43306,5754600
43307,5794206
43308,5828661
43309,3854893
43310,2893807
43311,4473802
43312,5584980
43313,5720903
43314,5734159
43315,5606773
43316,3662188
43317,2781780
43318,4361970
43319,5510601
43320,5618176
43321,5640098
43322,5569131
43323,3684576
43324,2531324
43325,4179203
43326,5369628
43327,5526950
43328,5578097
43329,5456979
43330,3660187
43331,2561051
43332,4112550
43333,5205557
43334,5352900
43335,5415611
43336,5359818
43337,3759677
43338,2704074
43339,4256665
43340,5371888
43341,5455626
43342,5442547
43343,5405077
43344,3464896
43345,2681944
43346,2586995
43347,4406914
43348,5809438
43349,5991429
43350,5968119
43351,4049883
43352,2739619
43353,4014214
43354,5162321
43355,6001717
43356,6206163
43357,6136800
43358,4240150
43359,2976539
43360,4824540
43361,5855711
43362,5377650
43363,6007162
43364,6237337
43365,4327264
43366,2994539
43367,4758194
43368,5909268
43369,6131882
43370,6311417
43371,6158013
43372,4229183
43373,2998527
43374,4723972
43375,5931668
43376,6148925
43377,6344014
43378,6291653
43379,4348105
43380,2944704
43381,3888340
43382,5641706
43383,6261399
43384,6203304
43385,6136371
43386,4276297
43387,2938001
43388,4753771
43389,6084484
43390,6261940
43391,6295096
43392,6177121
43393,4351309
43394,2934946
43395,4765698
43396,6125637
43397,6276652
43398,6307129
43399,6265531
43400,4015896
43401,2759821
43402,4826679
43403,6165582
43404,6234301
43405,6298033
43406,6169121
Grand Total,3981267753
