,DATE,ENTRIES
187,04/04/2018,1088541281785
188,04/05/2017,1030498796013
189,04/05/2018,1088374952187
190,04/06/2017,1015736535271
191,04/06/2018,1086832216243
192,04/07/2017,1038843945803
193,04/07/2018,1083581145969
194,04/08/2017,1010124054735
195,04/08/2018,1094891176073
196,04/09/2017,1007515885536
197,04/09/2018,1092962289035
198,04/10/2017,1017199448431
199,04/10/2018,1091698659824
200,04/11/2017,1018602015585
201,04/11/2018,1094211497255
202,04/12/2017,1034198812918
203,04/12/2018,1092018296422
204,04/13/2017,1052399082428
205,04/13/2018,1091805132380
206,04/14/2017,1048638104197
207,04/14/2018,1091945202972
208,04/15/2017,1031548081011
209,04/15/2018,1104048984225
210,04/16/2017,1036429890806
211,04/16/2018,1096716061611
212,04/17/2017,1055980925107
213,04/17/2018,1092662006061
214,04/18/2017,1054281421193
215,04/18/2018,1092944025712
216,04/19/2017,1042293280447
217,04/19/2018,1104897137635
218,04/20/2017,1053384953483
219,04/20/2018,1074805924870
220,04/21/2017,1055002766859
221,04/21/2018,1095086187742
222,04/22/2017,1048048016551
223,04/22/2018,1091507056779
224,04/23/2017,1049863000873
225,04/23/2018,1090744480777
226,04/24/2017,1073037475936
227,04/24/2018,1094527617034
228,04/25/2017,1063096904260
229,04/25/2018,1099296071621
230,04/26/2017,1085040764447
231,04/26/2018,1098662097724
232,04/27/2017,1103701135890
233,04/27/2018,1097986888172
234,04/28/2017,1047053563834
235,04/28/2018,1093740220730
236,04/29/2017,1061609182022
237,04/29/2018,1080117910829
238,04/30/2017,1053309955272
239,04/30/2018,1094639935709
240,05/01/2017,1062339563021
241,05/01/2018,1113193595954
242,05/02/2017,1064343780839
243,05/02/2018,1093654517215
244,05/03/2017,1055876201872
245,05/03/2018,1095125647501
246,05/04/2017,1073945110828
247,05/04/2018,1089287576455
248,05/05/2017,1071231132372
249,05/05/2018,1089019828782
250,05/06/2017,1067251714534
251,05/06/2018,1089874813839
252,05/07/2017,1066132795580
253,05/07/2018,1093069538384
254,05/08/2017,1094332142843
255,05/08/2018,1104391868729
256,05/09/2017,1076365892915
257,05/09/2018,1100253004156
258,05/10/2017,1067796725847
259,05/10/2018,1102165235099
260,05/11/2017,1067760971334
261,05/11/2018,1111272620766
262,05/12/2017,1064952715335
263,05/12/2018,1102515255231
264,05/13/2017,1067020068863
265,05/13/2018,1106453504544
266,05/14/2017,1067693562510
267,05/14/2018,1113164681765
268,05/15/2017,1076837447014
269,05/15/2018,1112804325685
270,05/16/2017,1070796382627
271,05/16/2018,1145022895435
272,05/17/2017,1054125391011
273,05/17/2018,1111971973981
274,05/18/2017,1044014991353
275,05/18/2018,1114249188397
276,05/19/2017,1035497066212
277,05/19/2018,1120452863689
278,05/20/2017,1069701507644
279,05/20/2018,1118966071062
280,05/21/2017,1069538545322
281,05/21/2018,1117863798221
282,05/22/2017,1068580106303
283,05/22/2018,1117480797328
284,05/23/2017,1064923953117
285,05/23/2018,1128012807813
286,05/24/2017,1096762144800
287,05/24/2018,1124988628680
288,05/25/2017,1063316626130
289,05/25/2018,1153910274260
290,05/26/2017,1057459960083
291,05/26/2018,1124136622505
292,05/27/2017,1059573120390
293,05/27/2018,1128938809954
294,05/28/2017,1059220657159
295,05/28/2018,1120502342102
296,05/29/2017,1069760890619
297,05/29/2018,1110153883496
298,05/30/2017,1073284360137
299,05/30/2018,1105398726817
300,05/31/2017,1070770276294
301,05/31/2018,1112549808214
302,06/01/2017,1072218568999
303,06/01/2018,1108630396771
304,06/02/2017,1056936189594
305,06/02/2018,1111222338982
306,06/03/2017,1065282032964
307,06/03/2018,1107617009362
308,06/04/2017,1062846508876
309,06/04/2018,1110482998900
310,06/05/2017,1086956620598
311,06/05/2018,1113164649420
312,06/06/2017,1070910697501
313,06/06/2018,1117457646321
314,06/07/2017,1082921291960
315,06/07/2018,1113528251660
316,06/08/2017,1063453704418
317,06/08/2018,1129405861302
318,06/09/2017,1060134007594
319,06/09/2018,1130149656757
320,06/10/2017,1063239820640
321,06/10/2018,1131670150804
322,06/11/2017,1067772939740
323,06/11/2018,1138681887172
324,06/12/2017,1085957194436
325,06/12/2018,1138651548974
326,06/13/2017,1095275489511
327,06/13/2018,1146437195102
328,06/14/2017,1124443915714
329,06/14/2018,1132878674585
330,06/15/2017,1080119969340
331,06/15/2018,1140223147554
332,06/16/2017,1068086348683
333,06/16/2018,1141386353788
334,06/17/2017,1065441750024
335,06/17/2018,1181334924857
336,06/18/2017,1080674688533
337,06/18/2018,1144971214741
338,06/19/2017,1123646599349
339,06/19/2018,1138845277426
340,06/20/2017,1102940576061
341,06/20/2018,1158701446484
342,06/21/2017,1094014319281
343,06/21/2018,1137859076065
344,06/22/2017,1104792634480
345,06/22/2018,1137141115551
346,06/23/2017,1102388243842
347,06/23/2018,1137737631411
348,06/24/2017,1092585512561
349,06/24/2018,1139928331560
350,06/25/2017,1090830316825
351,06/25/2018,1151429450549
352,06/26/2017,1093655844555
353,06/26/2018,1152386040008
354,06/27/2017,1094911940267
355,06/27/2018,1155559052437
356,06/28/2017,1115770500693
357,06/28/2018,1159851226565
358,06/29/2017,1098634270053
359,06/29/2018,1160201119542
360,06/30/2017,1094262759081
361,06/30/2018,1152491604069
362,07/01/2017,1093585212145
363,07/01/2018,1156922893337
364,07/02/2017,1103735017197
365,07/02/2018,1201462259041
366,07/03/2017,1111646850811
367,07/03/2018,1162554549609
368,07/04/2017,1094385801858
369,07/04/2018,1155544638264
370,07/05/2017,1093479010247
371,07/05/2018,1158066860337
372,07/06/2017,1133784194968
373,07/06/2018,1156232214162
374,07/07/2017,1108673293772
375,07/07/2018,1159154642358
376,07/08/2017,1085241001886
377,07/08/2018,1154944277819
378,07/09/2017,1085292228634
379,07/09/2018,1149579464676
380,07/10/2017,1099383762485
381,07/10/2018,1141490935689
382,07/11/2017,1105494230952
383,07/11/2018,1141129520179
384,07/12/2017,1099606803354
385,07/12/2018,1136709707141
386,07/13/2017,1096435273690
387,07/13/2018,1172060322401
388,07/14/2017,1095059320318
389,07/14/2018,1139886189605
390,07/15/2017,1097089669772
391,07/15/2018,1140591898576
392,07/16/2017,1092068864381
393,07/16/2018,1132448272550
394,07/17/2017,1094515499138
395,07/17/2018,1121336708084
396,07/18/2017,1106658451497
397,07/18/2018,1123935266425
398,07/19/2017,1095271665617
399,07/19/2018,1125232304601
400,07/20/2017,1098412317235
401,07/20/2018,1129191428742
402,07/21/2017,1112587867688
403,07/21/2018,1128348587564
404,07/22/2017,1094078169476
